4901001,Caddo Hills Elementary School,CADDO HILLS SCHOOL DISTRICT,K-6,N/A,326,2,14,N/A
3301002,Calico Rock High School,CALICO ROCK SCHOOL DISTRICT,7-12,N/A,194,2,9,N/A
3301001,Calico Rock Elementary School,CALICO ROCK SCHOOL DISTRICT,K-6,N/A,230,2,14,N/A
5204025,Ivory Primary School,CAMDEN FAIRVIEW SCHOOL DISTRICT,2-3,N/A,415,5,19,N/A
5204026,Camden Fairview Intermediate,CAMDEN FAIRVIEW SCHOOL DISTRICT,4-5,N/A,445,5,20,N/A
5204028,Camden Fairview Middle School,CAMDEN FAIRVIEW SCHOOL DISTRICT,6-8,N/A,522,5,10,N/A
5204023,Camden Fairview High School,CAMDEN FAIRVIEW SCHOOL DISTRICT,9-12,N/A,690,5,11,N/A
5204021,Fairview Elementary School,CAMDEN FAIRVIEW SCHOOL DISTRICT,K-1,N/A,397,5,18,N/A
6056701,Capitol City Lighthouse Lower Academy,CAPITOL CITY LIGHTHOUSE ACADEMY,K-6,N/A,236,1,13,N/A
4303013,Carlisle High School,CARLISLE SCHOOL DISTRICT,7-12,N/A,306,2,9,N/A
4303012,Carlisle Elementary School,CARLISLE SCHOOL DISTRICT,K-6,N/A,339,2,14,N/A
6802007,Cave City Middle School,CAVE CITY SCHOOL DISTRICT,6-8,N/A,307,3,18,N/A
6802703,Cave City High Career & Collegiate Preparatory School,CAVE CITY SCHOOL DISTRICT,9-12,N/A,397,3,12,N/A
6802001,Cave City Elementary School,CAVE CITY SCHOOL DISTRICT,K-5,N/A,526,3,18,N/A
3212027,Cedar Ridge High School,CEDAR RIDGE SCHOOL DISTRICT,6-12,N/A,412,3,13,N/A
3212010,Cord-Charlotte Elem. School,CEDAR RIDGE SCHOOL DISTRICT,K-6,N/A,101,3,13,N/A
3212026,Newark Elementary School,CEDAR RIDGE SCHOOL DISTRICT,K-6,N/A,252,3,18,N/A
1702010,Cedarville Middle School,CEDARVILLE SCHOOL DISTRICT,5-8,N/A,242,3,14,N/A
1702009,Cedarville High School,CEDARVILLE SCHOOL DISTRICT,9-12,N/A,282,3,8,N/A
1702008,Cedarville Elementary School,CEDARVILLE SCHOOL DISTRICT,K-4,N/A,279,3,16,N/A
5502008,Centerpoint Intermediate Sch,CENTERPOINT SCHOOL DISTRICT,4-5,N/A,133,3,18,N/A
